                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4943,                0.44965,                      1,                  1.295,             0.00023139,             0.00023139,             0.00023139
                      2,                 1.1171,                0.80382,                      1,                 1.1106,             0.00046474,             0.00046474,             0.00046474
                      3,                0.75719,                0.91667,                      1,                0.96837,             0.00069338,             0.00069338,             0.00069338
                      4,                 0.5059,                0.94792,                      1,                0.88029,             0.00069279,             0.00069279,             0.00069279
                      5,                0.36167,                0.96354,                      1,                0.82319,             0.00069279,             0.00069279,             0.00069279
                      6,                0.28637,                0.97049,                      1,                0.79937,             0.00068573,             0.00068573,             0.00068573
                      7,                0.19999,                0.97049,                      1,                0.78706,             0.00067866,             0.00067866,             0.00067866
                      8,                0.17193,                0.97049,                      1,                0.77924,             0.00067159,             0.00067159,             0.00067159
                      9,                0.15962,                0.97049,                      1,                0.77618,             0.00066452,             0.00066452,             0.00066452
                     10,                0.13346,                0.97049,                      1,                0.77629,             0.00065745,             0.00065745,             0.00065745
                     11,                0.13136,                0.96875,                      1,                0.77534,             0.00065038,             0.00065038,             0.00065038
                     12,                0.12036,                0.97049,                      1,                0.77406,             0.00064331,             0.00064331,             0.00064331
                     13,                0.10529,                0.97049,                      1,                0.77412,             0.00063625,             0.00063625,             0.00063625
                     14,                0.10424,                0.97049,                      1,                0.77186,             0.00062918,             0.00062918,             0.00062918
                     15,                0.09926,                0.97049,                      1,                0.77181,             0.00062211,             0.00062211,             0.00062211
                     16,                0.10024,                0.96875,                      1,                0.77355,             0.00061504,             0.00061504,             0.00061504
                     17,                0.09419,                0.97049,                      1,                0.77178,             0.00060797,             0.00060797,             0.00060797
                     18,                0.07918,                0.97049,                      1,                0.77113,              0.0006009,              0.0006009,              0.0006009
                     19,                0.08932,                0.97049,                      1,                0.77195,             0.00059383,             0.00059383,             0.00059383
                     20,                0.07382,                0.97049,                      1,                0.77089,             0.00058677,             0.00058677,             0.00058677
                     21,                0.09749,                0.97049,                      1,                0.77086,              0.0005797,              0.0005797,              0.0005797
                     22,                0.07988,                0.97049,                      1,                 0.7707,             0.00057263,             0.00057263,             0.00057263
                     23,                0.08073,                0.97049,                      1,                0.77072,             0.00056556,             0.00056556,             0.00056556
                     24,                0.07137,                0.97049,                      1,                 0.7717,             0.00055849,             0.00055849,             0.00055849
                     25,                0.06593,                0.97049,                      1,                0.77005,             0.00055142,             0.00055142,             0.00055142
                     26,                 0.0782,                0.97049,                      1,                0.76999,             0.00054435,             0.00054435,             0.00054435
                     27,                0.07947,                0.97049,                      1,                 0.7701,             0.00053728,             0.00053728,             0.00053728
                     28,                0.06818,                0.97049,                      1,                0.77037,             0.00053022,             0.00053022,             0.00053022
                     29,                0.08917,                0.97049,                      1,                0.77048,             0.00052315,             0.00052315,             0.00052315
                     30,                0.09265,                0.97049,                      1,                 0.7704,             0.00051608,             0.00051608,             0.00051608
                     31,                0.08967,                0.97049,                      1,                0.77081,             0.00050901,             0.00050901,             0.00050901
                     32,                0.07587,                0.97049,                      1,                0.77165,             0.00050194,             0.00050194,             0.00050194
                     33,                0.08231,                0.97049,                      1,                0.76999,             0.00049487,             0.00049487,             0.00049487
                     34,                0.09096,                0.97049,                      1,                0.77021,              0.0004878,              0.0004878,              0.0004878
                     35,                0.06228,                0.97049,                      1,                0.76964,             0.00048074,             0.00048074,             0.00048074
                     36,                 0.0648,                0.97049,                      1,                0.76975,             0.00047367,             0.00047367,             0.00047367
                     37,                0.07149,                0.97049,                      1,                0.76959,              0.0004666,              0.0004666,              0.0004666
                     38,                0.06355,                0.97049,                      1,                0.76986,             0.00045953,             0.00045953,             0.00045953
                     39,                0.05128,                0.97049,                      1,                0.76983,             0.00045246,             0.00045246,             0.00045246
                     40,                0.06033,                0.97049,                      1,                0.76959,             0.00044539,             0.00044539,             0.00044539
                     41,                0.07381,                0.97049,                      1,                0.76961,             0.00043832,             0.00043832,             0.00043832
                     42,                0.05778,                0.97049,                      1,                0.76964,             0.00043126,             0.00043126,             0.00043126
                     43,                0.05826,                0.97049,                      1,                0.76953,             0.00042419,             0.00042419,             0.00042419
                     44,                0.06053,                0.97049,                      1,                 0.7695,             0.00041712,             0.00041712,             0.00041712
                     45,                0.05528,                0.97049,                      1,                0.76956,             0.00041005,             0.00041005,             0.00041005
                     46,                0.05104,                0.97049,                      1,                0.76937,             0.00040298,             0.00040298,             0.00040298
                     47,                0.04933,                0.97049,                      1,                0.76934,             0.00039591,             0.00039591,             0.00039591
                     48,                0.04751,                0.97049,                      1,                0.76929,             0.00038884,             0.00038884,             0.00038884
                     49,                 0.0544,                0.97049,                      1,                0.76926,             0.00038178,             0.00038178,             0.00038178
                     50,                0.05193,                0.97049,                      1,                0.76912,             0.00037471,             0.00037471,             0.00037471
                     51,                0.05367,                0.97049,                      1,                0.76937,             0.00036764,             0.00036764,             0.00036764
                     52,                0.05055,                0.97049,                      1,                0.76926,             0.00036057,             0.00036057,             0.00036057
                     53,                0.05335,                0.97049,                      1,                0.76923,              0.0003535,              0.0003535,              0.0003535
                     54,                0.05605,                0.97049,                      1,                0.76931,             0.00034643,             0.00034643,             0.00034643
                     55,                0.06157,                0.97049,                      1,                0.76915,             0.00033936,             0.00033936,             0.00033936
                     56,                0.05228,                0.97049,                      1,                0.76912,              0.0003323,              0.0003323,              0.0003323
                     57,                0.04517,                0.97049,                      1,                 0.7691,             0.00032523,             0.00032523,             0.00032523
                     58,                0.05347,                0.97049,                      1,                0.76912,             0.00031816,             0.00031816,             0.00031816
                     59,                0.04757,                0.97049,                      1,                0.76907,             0.00031109,             0.00031109,             0.00031109
                     60,                0.05781,                0.97049,                      1,                 0.7691,             0.00030402,             0.00030402,             0.00030402
                     61,                0.04499,                0.97049,                      1,                0.76904,             0.00029695,             0.00029695,             0.00029695
                     62,                0.05291,                0.97049,                      1,                0.76904,             0.00028988,             0.00028988,             0.00028988
                     63,                0.06705,                0.97049,                      1,                0.76907,             0.00028282,             0.00028282,             0.00028282
                     64,                0.04879,                0.97049,                      1,                0.76904,             0.00027575,             0.00027575,             0.00027575
                     65,                0.05072,                0.97049,                      1,                0.76915,             0.00026868,             0.00026868,             0.00026868
                     66,                0.04626,                0.97049,                      1,                0.76904,             0.00026161,             0.00026161,             0.00026161
                     67,                0.04838,                0.97049,                      1,                0.76902,             0.00025454,             0.00025454,             0.00025454
                     68,                0.04924,                0.97049,                      1,                0.76904,             0.00024747,             0.00024747,             0.00024747
                     69,                0.04898,                0.97049,                      1,                0.76902,              0.0002404,              0.0002404,              0.0002404
                     70,                0.05571,                0.97049,                      1,                0.76912,             0.00023334,             0.00023334,             0.00023334
                     71,                0.04548,                0.97049,                      1,                0.76902,             0.00022627,             0.00022627,             0.00022627
                     72,                0.05174,                0.97049,                      1,                0.76902,              0.0002192,              0.0002192,              0.0002192
                     73,                0.06224,                0.97049,                      1,                0.76902,             0.00021213,             0.00021213,             0.00021213
                     74,                0.05511,                0.97049,                      1,                0.76902,             0.00020506,             0.00020506,             0.00020506
                     75,                0.05101,                0.97049,                      1,                 0.7691,             0.00019799,             0.00019799,             0.00019799
                     76,                 0.0465,                0.97049,                      1,                0.76907,             0.00019092,             0.00019092,             0.00019092
                     77,                0.05496,                0.97049,                      1,                0.76899,             0.00018385,             0.00018385,             0.00018385
                     78,                0.05101,                0.97049,                      1,                0.76896,             0.00017679,             0.00017679,             0.00017679
                     79,                 0.0448,                0.97049,                      1,                0.76896,             0.00016972,             0.00016972,             0.00016972
                     80,                0.04209,                0.97049,                      1,                0.76893,             0.00016265,             0.00016265,             0.00016265
                     81,                0.04594,                0.97049,                      1,                0.76891,             0.00015558,             0.00015558,             0.00015558
                     82,                0.05191,                0.97049,                      1,                0.76883,             0.00014851,             0.00014851,             0.00014851
                     83,                0.04744,                0.97049,                      1,                0.76891,             0.00014144,             0.00014144,             0.00014144
                     84,                0.04682,                0.97049,                      1,                0.76888,             0.00013437,             0.00013437,             0.00013437
                     85,                0.04577,                0.97049,                      1,                0.76893,             0.00012731,             0.00012731,             0.00012731
                     86,                0.04558,                0.97049,                      1,                0.76893,             0.00012024,             0.00012024,             0.00012024
                     87,                0.04498,                0.97049,                      1,                0.76888,             0.00011317,             0.00011317,             0.00011317
                     88,                0.04574,                0.97049,                      1,                0.76888,              0.0001061,              0.0001061,              0.0001061
                     89,                0.04769,                0.97049,                      1,                0.76891,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.04593,                0.97049,                      1,                0.76891,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.04488,                0.97049,                      1,                0.76888,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.04554,                0.97049,                      1,                0.76883,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.04973,                0.97049,                      1,                0.76883,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.04366,                0.97049,                      1,                0.76883,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.04573,                0.97049,                      1,                0.76885,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.04694,                0.97049,                      1,                0.76891,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.04675,                0.97049,                      1,                0.76888,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.04327,                0.97049,                      1,                0.76888,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.04531,                0.97049,                      1,                0.76883,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                 0.0538,                0.97049,                      1,                0.76883,             2.1277e-05,             2.1277e-05,             2.1277e-05
